id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
33955160,Double Room - Edison 2 Shared Flat,248382211,Inspire,Lisboa,Avenidas Novas,38.7357,-9.15626,Private room,30,3,1,2022-07-21,0.20,19,168,1,54850/AL
33955216,Double Room - Edison 2 Shared Flat,248382211,Inspire,Lisboa,Avenidas Novas,38.73362,-9.15443,Private room,30,3,2,2022-09-01,0.49,19,168,2,54850/AL
33955267,Double Room -  Edison 2 Shared Flat,248382211,Inspire,Lisboa,Avenidas Novas,38.73344,-9.15447,Private room,20,3,4,2022-08-31,0.79,19,162,4,54850/AL
33615687,Unser wunderschönes Alkoven-Wohnmobil in Lissabon,187435041,Elisabete,Lisboa,Olivais,38.77046,-9.12529,Entire home/apt,139,3,1,2019-12-06,0.03,4,348,0,Exempt
33955326,Double Room - Edison 2 Shared Flat,248382211,Inspire,Lisboa,Avenidas Novas,38.7356,-9.15662,Private room,20,3,5,2022-08-28,0.12,19,168,4,54850/AL
33955388,Twin Room - Davinci Shared Flat,248382211,Inspire,Lisboa,Arroios,38.72856,-9.13622,Private room,30,3,4,2022-09-02,0.10,19,169,3,Da Vinci	54853/AL
33955504,Double Room - Davinci Shared Flat,248382211,Inspire,Lisboa,Arroios,38.72859,-9.13627,Private room,25,3,4,2022-08-28,0.89,19,169,4,54853/AL
33955566,Double Room - Davinci Shared Flat,248382211,Inspire,Lisboa,Arroios,38.727,-9.13481,Private room,25,3,5,2022-08-20,0.12,19,169,3,54853/AL
33955629,Double Room - Davinci Shared Flat,248382211,Inspire,Lisboa,Arroios,38.72855,-9.13473,Private room,25,3,2,2022-08-28,0.05,19,169,1,54853/AL
33955683,Double Room - Davinci Shared Flat,248382211,Inspire,Lisboa,Arroios,38.72884,-9.13626,Private room,25,3,2,2019-08-25,0.05,19,169,0,54853/AL
33955719,Single Room 7- Davinci Shared Flat,248382211,Inspire,Lisboa,Arroios,38.72886,-9.13432,Private room,20,3,8,2022-08-11,0.19,19,163,3,54853/AL
33616529,Tamariz House,253329654,Isabel,Cascais,Cascais e Estoril,38.7023,-9.39578,Entire home/apt,200,4,20,2022-11-04,0.45,1,234,7,89706/AL.
33829022,Modern and Charming Townhouse | 2 bedrooms,248167441,Jose,Lisboa,Avenidas Novas,38.73342,-9.15289,Entire home/apt,183,3,31,2022-12-06,0.70,2,337,25,Exempt
33956745,"ALTIDO Astonishing 3BR Apt w/view, free parking and communal pool nearby Lisbon Congress Centre",1756107,Altido,Lisboa,Alcntara,38.70125,-9.1823,Entire home/apt,161,2,7,2021-04-15,0.16,228,0,0,86525/AL
33626767,Avenida Sunny Room - with Balcony 2,252967041,Fernando,Lisboa,Santo Antnio,38.72146,-9.14627,Private room,54,1,45,2022-11-27,1.01,6,365,42,32821/AL
